caribbean_genre,westafrica_genre,feature,genre_a_value,genre_b_value,abs_gap,distance_contribution
calypso_soca,afrobeats,mfcc_6_mean,-0.025576115457481164,-0.029258915107084827,0.003682799649603663,1.824575638795821e-06
calypso_soca,afrobeats,chroma_D,0.11085789570175876,0.12741241601996728,0.016554520318208518,3.686709245670423e-05
calypso_soca,afrobeats,chroma_G,0.2421236275407335,0.26485986084204144,0.022736233301307945,6.954128632057182e-05
calypso_soca,afrobeats,log_attack_time_ms,0.04350449374447745,0.10661569403228557,0.06311120028780812,0.0005358195626364396
calypso_soca,afrobeats,chroma_C#,0.17746010486945699,0.10928785663023,0.06817224823922699,0.0006252028069240557
calypso_soca,afrobeats,chroma_F,0.24574094543759978,0.13173801237877217,0.11400293305882761,0.0017483876721518473
calypso_soca,afrobeats,chroma_C,0.07895209084023418,-0.05210514027351733,0.1310572311137515,0.0023106153926709646
calypso_soca,afrobeats,spectral_bandwidth_mean,0.30904290898099923,0.16883975270643567,0.14020315627456356,0.002644364187881951
calypso_soca,afrobeats,dynamic_range_db,-0.16259347449474146,0.016854696846207662,0.17944817134094912,0.004331953236259743
calypso_soca,afrobeats,mfcc_7_mean,0.040059694983309045,-0.15021836686541898,0.19027806184872803,0.004870607395591881
calypso_soca,afrobeats,mfcc_13_mean,0.14206037111537986,-0.05184668550765873,0.1939070566230386,0.005058164088664385
calypso_soca,afrobeats,chroma_G#,0.35185125784786614,0.13642539307995052,0.21542586476791561,0.006243115586405968
calypso_soca,afrobeats,chroma_F#,0.20112119884141771,-0.022075858347939962,0.22319705718935767,0.0067016634474537885
calypso_soca,afrobeats,beat_count,-0.07158311708076681,-0.317567055279368,0.2459839381986012,0.008139902186988597
calypso_soca,afrobeats,mfcc_4_mean,-0.13154076140704715,-0.38397779213386246,0.25243703072681534,0.008572585237689213
calypso_soca,afrobeats,mean_ibi_sec,0.04004005645943388,0.29676278464790784,0.25672272818847397,0.008866134685439023
calypso_soca,afrobeats,spectral_flux_mean,0.13398705064945338,0.403880152133849,0.2698931014843956,0.009799169136548975
calypso_soca,afrobeats,tempo_bpm,-0.07846389247865625,-0.35580467269205024,0.277340780213394,0.010347445594621944
calypso_soca,afrobeats,chroma_A,0.19839798985515536,-0.09929744786093533,0.2976954377160907,0.011922025424304136
calypso_soca,afrobeats,chroma_E,0.2990596774118949,-0.0005843702556538026,0.29964404766754865,0.012078611025933788
calypso_soca,afrobeats,mfcc_5_mean,-0.22636031152959182,0.07985780475394835,0.3062181162835402,0.012614424647355217
calypso_soca,afrobeats,mean_beat_strength,-0.13834119980997012,0.20105507788439517,0.3393962776943653,0.015496008127702177
calypso_soca,afrobeats,key_correlation,-0.330367356589787,0.04257572749429964,0.3729430840840866,0.018710733002806974
calypso_soca,afrobeats,mfcc_10_mean,0.30304770767178607,-0.1043069543471215,0.4073546620189076,0.022322923332916494
calypso_soca,afrobeats,lufs_integrated,0.5664546959315598,0.142545994871743,0.4239087010598168,0.024174101845935058
calypso_soca,afrobeats,mfcc_11_mean,0.3148571791629172,-0.11490364836481463,0.42976082752773187,0.024846163580184537
calypso_soca,afrobeats,mfcc_2_mean,-0.3505481974117888,0.0810161469616423,0.43156434437343105,0.02505513795197912
calypso_soca,afrobeats,chroma_A#,0.2587250471007883,-0.18921019361049524,0.44793524071128354,0.02699206731578546
calypso_soca,afrobeats,spectral_centroid_mean,0.43615330374690775,-0.021428749955665873,0.4575820537025736,0.02816719834666767
calypso_soca,afrobeats,chroma_D#,0.42185321283268884,-0.03701088325849825,0.4588640960911871,0.028325255814968343
calypso_soca,afrobeats,ibi_std_sec,0.19367790094217316,0.6562375407717856,0.46255963982961246,0.028783338027055794
calypso_soca,afrobeats,rms_mean,0.6571390649741754,0.18354047624000971,0.4735985887341657,0.03017355526044917
calypso_soca,afrobeats,chroma_B,0.11477951345313582,-0.3974794807076937,0.5122589941608295,0.03530082624274306
calypso_soca,afrobeats,mfcc_8_mean,0.23548299465183367,-0.2879066131082841,0.5233896077601178,0.03685155990848503
calypso_soca,afrobeats,rms_std,0.19626448755171302,0.7230400431347984,0.5267755555830854,0.03732990745922821
calypso_soca,afrobeats,mfcc_12_mean,0.20685329874106803,-0.4115170300514392,0.6183703287925072,0.05144023821157488
calypso_soca,afrobeats,ssm_mean_affinity,-0.48151488376047363,0.13957186053433399,0.6210867442948076,0.05189317059860366
calypso_soca,afrobeats,onsets_per_second,0.30071663159034906,-0.348272447462646,0.6489890790529951,0.05666050789026769
calypso_soca,afrobeats,textural_grain_mean,0.5731855725953756,-0.10208759523465837,0.675273167830034,0.06134295207332829
calypso_soca,afrobeats,mfcc_1_mean,0.6706585352511949,-0.06578551855669063,0.7364440538078856,0.07296006387897618
calypso_soca,afrobeats,mfcc_3_mean,-0.22515957273178533,0.5722492537145306,0.7974088264463159,0.08553970786336765
calypso_soca,afrobeats,mfcc_9_mean,0.2840962132037515,-0.6608299528066078,0.9449261660103594,0.12011615899703668
calypso_soca,highlife,chroma_C,0.07895209084023418,0.08416446651176225,0.0052123756715280745,2.6968266360087865e-06
calypso_soca,highlife,spectral_flux_mean,0.13398705064945338,0.09102017271373394,0.04296687793571943,0.00018325220413078274
calypso_soca,highlife,onsets_per_second,0.30071663159034906,0.34983423533087005,0.04911760374052099,0.00023947266813143767
calypso_soca,highlife,log_attack_time_ms,0.04350449374447745,0.09454655999296431,0.05104206624848686,0.00025860570685261623
calypso_soca,highlife,chroma_B,0.11477951345313582,0.21707429871437942,0.1022947852612436,0.0010386963388263008
calypso_soca,highlife,chroma_A#,0.2587250471007883,0.14544488267772057,0.11328016442306774,0.0012737651199784645
calypso_soca,highlife,mfcc_6_mean,-0.025576115457481164,0.16066868275755,0.18624479821503118,0.0034431022048358947
calypso_soca,highlife,mfcc_5_mean,-0.22636031152959182,-0.4257407536808909,0.1993804421512991,0.003945905865095873
calypso_soca,highlife,key_correlation,-0.330367356589787,-0.12846801522422818,0.20189934136555882,0.004046237914257658
calypso_soca,highlife,mfcc_8_mean,0.23548299465183367,0.011817919233003979,0.22366507541882968,0.004965671230979481
calypso_soca,highlife,mean_beat_strength,-0.13834119980997012,0.11863470135719138,0.2569759011671615,0.006554905066697833
calypso_soca,highlife,ibi_std_sec,0.19367790094217316,-0.06826897134837213,0.2619468722905453,0.0068109555392655684
calypso_soca,highlife,chroma_A,0.19839798985515536,-0.08230909825360895,0.2807070881087643,0.007821469732881402
calypso_soca,highlife,mean_ibi_sec,0.04004005645943388,0.36840822257162686,0.328368166112193,0.01070295515672262
calypso_soca,highlife,chroma_F,0.24574094543759978,-0.10237430303593052,0.3481152484735303,0.012028949592875782
calypso_soca,highlife,tempo_bpm,-0.07846389247865625,-0.43331721232064496,0.3548533198419887,0.012499117654615626
calypso_soca,highlife,mfcc_4_mean,-0.13154076140704715,0.2237599061737677,0.35530066758081486,0.012530651678135985
calypso_soca,highlife,mfcc_3_mean,-0.22515957273178533,0.13650889858722112,0.3616684713190065,0.012983832729637684
calypso_soca,highlife,mfcc_7_mean,0.040059694983309045,-0.3249956686591269,0.3650553636424359,0.013228149008375413
calypso_soca,highlife,mfcc_13_mean,0.14206037111537986,-0.22504197863738543,0.3671023497527653,0.013376914139271398
calypso_soca,highlife,chroma_C#,0.17746010486945699,-0.19727191496038998,0.37473201982984694,0.013938730419460909
calypso_soca,highlife,chroma_D,0.11085789570175876,-0.27362116895929595,0.3844790646610547,0.014673273233762572
calypso_soca,highlife,beat_count,-0.07158311708076681,-0.47093112432739564,0.39934800724662883,0.015830136295540618
calypso_soca,highlife,mfcc_12_mean,0.20685329874106803,-0.19335289569698627,0.4002061944380543,0.015898246400416958
calypso_soca,highlife,mfcc_11_mean,0.3148571791629172,-0.09534306345795325,0.41020024262087046,0.016702190647317882
calypso_soca,highlife,chroma_G,0.2421236275407335,-0.21520225271242546,0.45732588025315896,0.02076027818830122
calypso_soca,highlife,chroma_F#,0.20112119884141771,-0.28673017374235665,0.48785137258377437,0.023624176207860285
calypso_soca,highlife,spectral_bandwidth_mean,0.30904290898099923,-0.2372578498834123,0.5463007588644115,0.029624103639065688
calypso_soca,highlife,dynamic_range_db,-0.16259347449474146,0.4128545171675496,0.5754479916622911,0.03286955074153756
calypso_soca,highlife,chroma_G#,0.35185125784786614,-0.25365778547946316,0.6055090433273294,0.036393420742165714
calypso_soca,highlife,mfcc_9_mean,0.2840962132037515,-0.3360262729042198,0.6201224861079713,0.038171266496445186
calypso_soca,highlife,rms_std,0.19626448755171302,-0.431772515321777,0.6280370028734901,0.03915183084026979
calypso_soca,highlife,mfcc_2_mean,-0.3505481974117888,0.29496313911321437,0.6455113365250031,0.0413608407722309
calypso_soca,highlife,mfcc_10_mean,0.30304770767178607,-0.35599013919502936,0.6590378468668154,0.043112412138625024
calypso_soca,highlife,chroma_E,0.2990596774118949,-0.3613274743629415,0.6603871517748363,0.043289128361001857
calypso_soca,highlife,spectral_centroid_mean,0.43615330374690775,-0.2530815339426876,0.6892348376895954,0.04715373003252112
calypso_soca,highlife,chroma_D#,0.42185321283268884,-0.30020834700761434,0.7220615598403032,0.051752348330343236
calypso_soca,highlife,ssm_mean_affinity,-0.48151488376047363,0.24636502865107687,0.7278799124115505,0.05258974671201649
calypso_soca,highlife,lufs_integrated,0.5664546959315598,-0.18149557162897703,0.7479502675605368,0.05552992086580512
calypso_soca,highlife,textural_grain_mean,0.5731855725953756,-0.22591499085948802,0.7991005634548636,0.06338470663484555
