track_id,genre,corpus,file_path,estimated_key,mode,key_correlation,tempo_bpm,beat_count,mean_ibi_sec,ibi_std_sec,mean_beat_strength,rms_mean,rms_std,lufs_integrated,dynamic_range_db,spectral_centroid_mean,spectral_bandwidth_mean,spectral_flux_mean,log_attack_time_ms,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,onsets_per_second,textural_grain_mean,ssm_mean_affinity,chroma_C,chroma_C#,chroma_D,chroma_D#,chroma_E,chroma_F,chroma_F#,chroma_G,chroma_G#,chroma_A,chroma_A#,chroma_B
1maQdXRvqcu58cRPJGPZDC,compas,caribbean,../data/raw/audio/compas/1maQdXRvqcu58cRPJGPZDC.m4a,G,minor,0.60269263869737,129.19921875,62,0.4819092227054756,0.0438265999800015,5.093006610870361,0.2887127697467804,0.184071734547615,-11.604259517213915,115.00780487060548,1572.7348295088702,1859.5251763459323,1.2230818271636963,35.64625850340136,-87.90455627441406,111.89524841308594,-4.389725685119629,21.17277717590332,2.7247469425201416,6.457137107849121,-1.8049523830413816,0.9308454394340516,-1.2101045846939087,-2.029106378555298,-6.834020137786865,-6.702653884887695,-8.586038589477539,3.3,0.0061430325731635,0.0213491781207555,0.4399217665195465,0.30649739503860474,0.6351073384284973,0.34116482734680176,0.5232594013214111,0.5933125615119934,0.5405905246734619,0.7195823788642883,0.4568941593170166,0.5342950820922852,0.4707179069519043,0.3130842447280884
7fQLUCOYcafUT9ZppkUjCj,compas,caribbean,../data/raw/audio/compas/7fQLUCOYcafUT9ZppkUjCj.m4a,C#,major,0.4441368753048992,117.45383522727272,59,0.5056345296739385,0.0202441122916333,4.205978870391846,0.2962603569030761,0.097005657851696,-10.811776825874883,26.078304290771484,2838.903008895669,2854.513721010549,1.455910086631775,31.42857142857143,-2.708890199661255,79.38307189941406,7.509683132171631,5.906636714935303,6.428208827972412,2.0825376510620117,-0.2007642835378646,5.286302089691162,-7.552994251251221,7.566379070281982,0.5606318712234497,-0.393010675907135,-0.6409908533096313,4.633333333333334,0.034318882972002,0.0173163917276377,0.4287168085575104,0.6749270558357239,0.5528202056884766,0.8334376215934753,0.7583574652671814,0.8695448040962219,0.7225573062896729,0.5479682683944702,0.6310498714447021,0.3622766137123108,0.42084336280822754,0.26692792773246765
5vy8UHH3N8G7gJeKdMZhto,compas,caribbean,../data/raw/audio/compas/5vy8UHH3N8G7gJeKdMZhto.m4a,F,minor,0.6343763675552532,129.19921875,61,0.4682690854119425,0.0147872203558063,4.702586650848389,0.1097849532961845,0.0433545112609863,-18.90418953816804,31.918800354003903,3052.200812543232,3097.9319598969114,1.424876689910889,103.26530612244898,-129.56346130371094,67.29096221923828,28.077903747558594,18.86799430847168,16.04329490661621,12.841760635375977,0.1814197301864624,-0.2920214831829071,-8.977023124694824,1.1269168853759766,-6.678824424743652,0.3751928508281708,-8.027570724487305,5.5,0.0228389259427785,0.0195712763342468,0.7183013558387756,0.3741459846496582,0.2505466341972351,0.23555073142051697,0.38147372007369995,0.4947851896286011,0.24039165675640106,0.328314870595932,0.3841143846511841,0.2654171884059906,0.4411723017692566,0.3497096598148346
5gdTDWskPEc1QlJ4mukqBd,compas,caribbean,../data/raw/audio/compas/5gdTDWskPEc1QlJ4mukqBd.m4a,F,minor,0.3892017759806703,129.19921875,62,0.471631537861046,0.0160327617866849,4.573917865753174,0.3021198809146881,0.2322048544883728,-11.699440580415256,31.856555938720703,1458.1304854670211,1695.5787465272776,1.480063557624817,79.22902494331066,-124.8067398071289,132.2290496826172,-28.077898025512695,-2.273902654647827,-1.99806010723114,-5.319056987762451,8.310647010803223,-4.012506484985352,-13.020326614379885,23.58782196044922,-0.729799211025238,-2.89139986038208,-0.4206998944282532,4.433333333333334,0.0047059338539838,0.0177697602294153,0.38055887818336487,0.37088555097579956,0.38287991285324097,0.5700158476829529,0.6869989037513733,0.8692100644111633,0.7695344090461731,0.6292883157730103,0.5125906467437744,0.3509924113750458,0.3868435025215149,0.26155519485473633
4hMEtRcqIwQN236DnzSJ9D,compas,caribbean,../data/raw/audio/compas/4hMEtRcqIwQN236DnzSJ9D.m4a,F,minor,0.7314170772394307,95.703125,47,0.6314818101153505,0.0157779587880131,5.678310871124268,0.1836559623479843,0.0847847759723663,-15.637931625853192,25.710756301879883,2036.687040297135,2317.823088816807,1.6696219444274902,41.043083900226755,-115.42684173583984,111.93585205078124,6.014123916625977,15.042397499084473,13.317602157592772,-4.839951992034912,-5.423968315124512,0.0968040227890014,-19.452791213989254,5.570528030395508,-14.13884735107422,-5.146481990814209,-2.4238030910491943,4.233333333333333,0.0145721947774291,0.0193993627118492,0.722180187702179,0.40799015760421753,0.2932470142841339,0.3693573474884033,0.26577064394950867,0.574678897857666,0.28176718950271606,0.39503416419029236,0.40460705757141113,0.31099456548690796,0.4770587086677551,0.3051234483718872
28UIO1DJniieh8KdJrWu38,compas,caribbean,../data/raw/audio/compas/28UIO1DJniieh8KdJrWu38.m4a,C,major,0.843652959458629,103.359375,52,0.5741247610155173,0.0315502110647068,5.193140029907227,0.1208082064986229,0.0438365973532199,-18.303344571976204,25.390182495117188,2701.2480984881586,2611.793384199065,1.4959064722061155,8.344671201814059,-95.50638580322266,68.18631744384766,-12.1165189743042,19.6732120513916,10.205842971801758,19.30763816833496,3.5601348876953125,6.14976692199707,-6.986945629119873,1.440194010734558,-6.807140827178955,-0.6977685689926147,-3.986449718475342,6.433333333333334,0.0295567400753498,0.0183777070314277,0.7430970668792725,0.5274941921234131,0.6733435988426208,0.5815014243125916,0.7496441602706909,0.7107977271080017,0.5879902243614197,0.6950423121452332,0.5407877564430237,0.6942455768585205,0.5444372296333313,0.6739367246627808
2w8po8PRgHeArH9vFedgu5,compas,caribbean,../data/raw/audio/compas/2w8po8PRgHeArH9vFedgu5.m4a,A,major,0.7033360495525663,107.666015625,54,0.5542121251016129,0.0251294767968045,5.038376331329346,0.2331538647413253,0.0564473643898963,-13.587129903852386,26.939666748046875,2595.860370302042,2805.9442217299156,1.5889679193496704,110.61224489795916,-49.65753936767578,78.21702575683594,23.8761043548584,32.2937126159668,3.904564380645752,9.664331436157228,-1.6059695482254028,6.502159595489502,-1.5703935623168943,4.430172920227051,1.576577067375183,2.2264723777770996,-0.434497594833374,6.1,0.0230555310845375,0.0198275148536863,0.39793258905410767,0.47310781478881836,0.4369756281375885,0.31277647614479065,0.4353642761707306,0.354220449924469,0.4034043550491333,0.3380489647388458,0.49696746468544006,0.625449538230896,0.47474661469459534,0.4586011469364166
4dqYIcB0YWsaWamg7sy8yT,compas,caribbean,../data/raw/audio/compas/4dqYIcB0YWsaWamg7sy8yT.m4a,E,minor,0.8111917031617069,143.5546875,69,0.4237641723356009,0.0204511692467941,5.888646125793457,0.1767295151948928,0.0731012448668479,-15.362292154053344,47.4010124206543,2140.2576860901004,2404.326380775894,1.7249698638916016,201.5419501133787,-102.92581939697266,91.3310546875,13.258248329162598,41.70368194580078,2.8839683532714844,12.463680267333984,2.1026618480682373,3.204421281814575,-4.180811405181885,3.995871543884278,-2.9711709022521973,4.487774848937988,-3.1490235328674316,4.766666666666667,0.0128685031086206,0.0196678053029013,0.5935731530189514,0.5197127461433411,0.5886000394821167,0.5721133351325989,0.7246713042259216,0.4661167562007904,0.5406476855278015,0.6009985208511353,0.5944588780403137,0.5674688816070557,0.47437912225723267,0.5918625593185425
3nAd0WfZ6L6JpSUVkSneD4,compas,caribbean,../data/raw/audio/compas/3nAd0WfZ6L6JpSUVkSneD4.m4a,C,major,0.6389528171599405,143.5546875,72,0.4159969339848616,0.0216095082514926,4.89362096786499,0.203008085489273,0.0612942278385162,-14.643295280565155,25.815879821777344,1779.842083607421,2206.2225576395754,1.7531107664108276,129.297052154195,-100.59925079345705,112.74557495117188,12.080732345581056,31.765424728393555,2.0802533626556396,9.444405555725098,-2.874403238296509,6.622539520263672,-6.314327239990234,4.9968037605285645,-3.878550291061402,0.1507993340492248,-4.942763805389404,5.9,0.0076081613078713,0.0195962787540498,0.6825200915336609,0.5406590104103088,0.5868620872497559,0.5189610719680786,0.6767508387565613,0.4559709429740906,0.3774983584880829,0.5325785279273987,0.4356181025505066,0.4778898358345032,0.4052204191684723,0.5567773580551147
2DwGRZehHXB56Vvo8XVZrE,compas,caribbean,../data/raw/audio/compas/2DwGRZehHXB56Vvo8XVZrE.m4a,D,major,0.5529760539658,99.38401442307692,49,0.5940438397581255,0.0114475920217194,7.764579772949219,0.2266560345888137,0.1043947041034698,-13.494036890269571,28.81815719604492,2571.487774068397,2713.383462076794,1.8199656009674072,180.5442176870748,-61.74644470214844,78.51509857177734,12.156501770019531,24.309572219848633,10.824642181396484,14.128771781921388,1.088899850845337,4.570184230804443,-8.582149505615234,0.1087542548775672,-1.806953191757202,0.3705865740776062,-2.274228572845459,5.233333333333333,0.0230259820818901,0.0193419588882675,0.41348692774772644,0.47717413306236267,0.6270602941513062,0.4673158526420593,0.6107755303382874,0.5061967968940735,0.7001278400421143,0.795638918876648,0.7217772603034973,0.7378859519958496,0.4564932584762573,0.4191259741783142
0s25z8PjpKE196nyAvMdwL,compas,caribbean,../data/raw/audio/compas/0s25z8PjpKE196nyAvMdwL.m4a,F#,major,0.7165962409882641,172.265625,83,0.3463171284774072,0.0189131395243675,4.063792705535889,0.0461332723498344,0.0231755934655666,-25.38723275567339,40.74878692626953,2121.082560055384,1965.6164885440992,1.3390552997589111,23.6734693877551,-209.50970458984375,103.71253204345705,-38.170021057128906,50.126258850097656,-18.725317001342773,16.35443878173828,-22.396169662475582,2.488475561141968,-16.132349014282227,4.244891166687012,-5.923946857452393,2.330787897109986,-14.61258602142334,3.8666666666666663,0.0078596621751785,0.0190612148311602,0.4811391532421112,0.44974714517593384,0.3780975043773651,0.4544035792350769,0.288498193025589,0.44642436504364014,0.5449888706207275,0.3548226058483124,0.488931804895401,0.31888166069984436,0.43972915410995483,0.4503301978111267
4crPoq823VZmAnigUrjLz3,compas,caribbean,../data/raw/audio/compas/4crPoq823VZmAnigUrjLz3.m4a,C,minor,0.6251809352995497,112.34714673913044,54,0.5450117657125743,0.0124380706252308,4.958690643310547,0.280166745185852,0.0821377038955688,-11.783370194905856,23.041749954223633,2119.353264568174,2458.7633149771204,1.7567191123962402,36.55328798185941,-53.49153900146485,95.22089385986328,10.428985595703123,30.67690086364746,11.035507202148438,7.235041618347168,-1.2719346284866333,6.4980316162109375,-6.492621421813965,4.156828880310059,-1.4003562927246094,1.5594903230667114,-3.0265772342681885,6.566666666666666,0.0120432339608669,0.0181021433956987,0.7364625930786133,0.6621206402778625,0.6862859725952148,0.6187328696250916,0.4314613938331604,0.4465443193912506,0.47502806782722473,0.6594913005828857,0.48036906123161316,0.41674739122390747,0.45706602931022644,0.5754489898681641
4GXkqACWesUbbksmHyy0ij,compas,caribbean,../data/raw/audio/compas/4GXkqACWesUbbksmHyy0ij.m4a,F#,minor,0.3804475420092085,123.046875,62,0.4803866027285231,0.0107530825004493,10.051647186279297,0.237244501709938,0.1048632934689521,-14.596450616348289,29.03140640258789,1875.9797200179091,2310.942050376105,1.980542778968811,234.42176870748295,-85.64813995361328,107.33921813964844,0.2884814441204071,27.88100242614746,4.562719345092773,17.501060485839844,2.938948154449463,2.4638800621032715,8.662897109985352,14.484912872314451,4.478489398956299,6.977726459503174,1.2371017932891846,4.366666666666666,0.0162941981106996,0.0164623875436073,0.2982737421989441,0.2831171452999115,0.3788149952888489,0.3800419270992279,0.6553118228912354,0.8613076210021973,0.8852764964103699,0.6538383960723877,0.5381844639778137,0.6260159611701965,0.3760974109172821,0.3558785915374756
11aYR5P0rt3S8xoTQAFnsh,compas,caribbean,../data/raw/audio/compas/11aYR5P0rt3S8xoTQAFnsh.m4a,C,minor,0.4340370567444885,117.45383522727272,59,0.501631089217296,0.012892072875611,6.2739434242248535,0.2300809770822525,0.0769874155521392,-13.57075659389086,26.884113311767575,2237.0544582639254,2493.846251575244,1.6274288892745972,219.13832199546485,-47.06241607666016,94.537841796875,9.03205680847168,25.230560302734375,-9.238523483276367,11.888586044311523,-2.7286746501922607,2.417156457901001,-3.500068426132202,0.8417848944664001,3.963766574859619,8.835990905761719,-0.655345618724823,4.966666666666667,0.0166729763150215,0.0181285784415844,0.7642263770103455,0.7632953524589539,0.7875760793685913,0.648825466632843,0.5314577221870422,0.5164785385131836,0.4330471158027649,0.6231395602226257,0.3649440109729767,0.44181427359580994,0.41511857509613037,0.3938226103782654
2aFUdYM6WFHBWLskha77u0,compas,caribbean,../data/raw/audio/compas/2aFUdYM6WFHBWLskha77u0.m4a,G#,minor,0.8515316840537273,99.38401442307692,47,0.6173479246771172,0.0475808560707308,5.064764976501465,0.2469522505998611,0.0963986217975616,-13.32260437952292,31.86340713500977,1580.5317728534535,2490.2086327196307,1.456271052360535,40.86167800453515,-139.19342041015625,115.69744110107422,52.46785354614258,26.615724563598633,24.21819496154785,4.552436828613281,-3.5709714889526367,3.2143683433532715,0.5352216362953186,-5.723602771759033,-8.034972190856934,-0.6615504026412964,-10.910752296447754,4.166666666666667,0.0036795227788388,0.0205173373856689,0.21917414665222168,0.34570181369781494,0.2897293269634247,0.5580160021781921,0.34094664454460144,0.2297702431678772,0.3694103956222534,0.3277600109577179,0.60882568359375,0.26927801966667175,0.27254509925842285,0.365224152803421
66MNPmfZD8UyECxytEDlok,compas,caribbean,../data/raw/audio/compas/66MNPmfZD8UyECxytEDlok.m4a,C,major,0.8229542460646493,112.34714673913044,53,0.5429897087039944,0.0328865157908084,4.865695476531982,0.0958448871970176,0.0328888781368732,-20.36313674498085,27.268375396728516,2549.8734935597786,2474.539033527916,1.5413585901260376,86.48526077097506,-123.6655044555664,74.44583892822266,-3.572274684906006,41.2200927734375,5.860604763031006,2.064737319946289,-3.7720677852630615,5.967653274536133,-10.163453102111816,2.898653984069824,-2.2198736667633057,1.4288359880447388,-3.426649808883667,6.133333333333334,0.0253424681723117,0.0187487007002301,0.7089245915412903,0.42687106132507324,0.4884093701839447,0.31776854395866394,0.40481242537498474,0.5170187950134277,0.3947274386882782,0.4830363690853119,0.3390091061592102,0.4052489995956421,0.40382149815559387,0.43129825592041016
7DtOdp6zc9DV1Z7vAiirrm,compas,caribbean,../data/raw/audio/compas/7DtOdp6zc9DV1Z7vAiirrm.m4a,A,minor,0.541826185534973,135.99917763157896,66,0.4397502180359323,0.0190507819640632,6.5529022216796875,0.1248106360435485,0.0506207086145877,-18.69082675879375,30.102170944213867,3135.3559664321547,3091.626885181145,1.8988152742385864,53.560090702947846,-127.13655853271484,53.036136627197266,16.42245101928711,24.22734642028809,22.027915954589844,8.263410568237305,8.983447074890137,7.066112995147705,-5.419243812561035,8.015822410583496,2.48470687866211,10.129252433776855,-5.688134670257568,5.766666666666667,0.0364545881748199,0.0188044486445431,0.571550726890564,0.3757195770740509,0.3950366973876953,0.3434450924396515,0.47417834401130676,0.5496805310249329,0.4987436830997467,0.7435976266860962,0.6681270599365234,0.7857785820960999,0.5120461583137512,0.4857783317565918
